Date,Value,Notes
2022-11-06,YES_MANUAL,
2022-11-05,YES_MANUAL,
2022-11-03,YES_MANUAL,
2022-11-01,YES_MANUAL,
2022-10-29,YES_MANUAL,
2022-10-27,YES_MANUAL,
2022-10-22,YES_MANUAL,
2022-10-20,YES_MANUAL,
2022-10-18,YES_MANUAL,
2022-10-16,YES_MANUAL,
2022-10-13,YES_MANUAL,
2022-09-29,YES_MANUAL,
2022-09-18,YES_MANUAL,
2022-09-17,YES_MANUAL,
2022-09-15,YES_MANUAL,
2022-09-08,YES_MANUAL,
2022-09-03,YES_MANUAL,
2022-09-01,YES_MANUAL,
2022-08-26,YES_MANUAL,
2022-08-25,YES_MANUAL,
2022-08-24,YES_MANUAL,
2022-08-22,YES_MANUAL,
2022-08-18,YES_MANUAL,
2022-08-15,YES_MANUAL,
2022-08-09,YES_MANUAL,
2022-07-21,YES_MANUAL,
2022-07-03,YES_MANUAL,
2022-05-07,YES_MANUAL,
2022-05-05,YES_MANUAL,
2022-04-15,YES_MANUAL,
2022-03-29,NO,
2022-03-28,YES_MANUAL,
2022-03-23,YES_MANUAL,
2022-03-21,YES_MANUAL,
2022-01-28,YES_MANUAL,
