Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
30,tt10327294,2020-12-09,2020-12-09,,"Outmatched","Outmatched",https://www.imdb.com/title/tt10327294/,TV Series,5.9,22,2020,"Comedy",2407,2020-01-23,,7,2020-12-09
31,tt6586318,2020-12-09,2020-12-09,,"Patrick Melrose","Patrick Melrose",https://www.imdb.com/title/tt6586318/,TV Mini Series,8.0,60,2018,"Drama",35310,2018-05-12,,7,2021-12-08
32,tt10327354,2020-12-09,2020-12-09,,"Prodigal Son","Prodigal Son",https://www.imdb.com/title/tt10327354/,TV Series,7.6,44,2019,"Crime, Drama, Mystery, Thriller",26611,2019-09-23,,8,2022-11-03
33,tt5420376,2020-12-09,2020-12-09,,"Riverdale","Riverdale",https://www.imdb.com/title/tt5420376/,TV Series,6.4,45,2017,"Crime, Drama, Mystery, Romance",165391,2017-01-26,,5,2020-12-09
34,tt3205236,2020-12-09,2020-12-09,,"Satisfaction","Satisfaction",https://www.imdb.com/title/tt3205236/,TV Series,7.2,44,2014,"Drama",4261,2014-07-17,,4,2020-12-09
35,tt3514324,2020-12-09,2020-12-09,,"Scorpion","Scorpion",https://www.imdb.com/title/tt3514324/,TV Series,7.1,43,2014,"Action, Crime, Drama, Thriller",63715,2014-09-22,,6,2020-12-09
36,tt7767422,2020-12-09,2020-12-09,,"Sex Education","Sex Education",https://www.imdb.com/title/tt7767422/,TV Series,8.2,60,2019,"Comedy, Drama, Romance",396375,2019-01-11,,8,2020-12-09
37,tt0898266,2020-12-09,2020-12-09,,"The Big Bang Theory","The Big Bang Theory",https://www.imdb.com/title/tt0898266/,TV Series,8.1,22,2007,"Comedy, Romance",934510,2007-09-24,,8,2020-12-09
38,tt3107288,2020-12-09,2020-12-09,,"The Flash","The Flash",https://www.imdb.com/title/tt3107288/,TV Series,7.5,43,2014,"Action, Adventure, Drama, Sci-Fi",384833,2014-10-07,,6,2021-12-08
39,tt2071645,2020-12-09,2020-12-09,,"The Following","The Following",https://www.imdb.com/title/tt2071645/,TV Series,7.4,43,2013,"Crime, Drama, Horror, Mystery, Thriller",96141,2013-01-21,,8,2020-12-09
40,tt1196946,2020-12-09,2020-12-09,,"The Mentalist","The Mentalist",https://www.imdb.com/title/tt1196946/,TV Series,8.2,43,2008,"Crime, Drama, Mystery, Thriller",225305,2008-09-23,,8,2020-12-09
41,tt2632424,2020-12-09,2020-12-09,,"The Originals","The Originals",https://www.imdb.com/title/tt2632424/,TV Series,8.2,45,2013,"Drama, Fantasy, Horror, Mystery",160192,2013-10-03,,7,2020-12-09
42,tt3080030,2020-12-09,2020-12-09,,"The Profit","The Profit",https://www.imdb.com/title/tt3080030/,TV Series,8.3,43,2013,"Game-Show, Reality-TV",1756,2013-07-30,,6,2020-12-09
